0.201778,0.385989,0,0,0,0,0.158219,0.214052,4.80025,0.158219
0.218589,0.679541,0.000876112,-1.99475e-21,-2.27682e-18,-2.25514e-17,0.131826,0.161419,4.80085,0.131826
-0.0986967,0.761187,1.02876,0.00288398,0.00280334,0.000379968,0.108339,0.161148,5.16664,0.108339
-0.132868,0.648463,0.75372,-0.0880632,-0.116311,-0.0165035,0.147346,0.141542,5.26648,0.147346
-0.559599,0.738394,1.32289,2.45268,4.21775,0.977285,0.133033,0.140473,5.44904,0.133033
-0.57372,0.750054,-0.125089,2.23799,4.76822,1.10667,0.163066,0.141457,5.32827,0.163066
-1.08558,0.858489,-1.13945,-1.86471,7.30547,2.00649,0.150982,0.162089,5.12376,0.150982
-1.13328,0.741884,-1.04323,-2.01292,7.37583,2.02349,0.15599,0.158789,4.97392,0.15599
-1.29262,0.57219,-2.52135,1.19293,5.84126,-0.435431,0.172112,0.150289,4.75087,0.172112
-1.42058,0.633618,-2.5263,1.26629,5.81854,-0.451408,0.202833,0.142686,4.5644,0.202833
-1.67303,0.649261,-4.06047,1.2115,5.99323,0.157152,0.223026,0.136313,4.35782,0.223026
-1.91599,0.727634,-4.24634,1.28845,5.98859,0.0602391,0.238219,0.133707,4.17545,0.238219
-2.2058,0.554983,-4.67179,-0.848301,6.46281,1.47828,0.245125,0.130315,4.01183,0.245125
-2.47697,0.589636,-4.83132,-0.611239,6.40903,1.04854,0.248248,0.126355,3.8659,0.248248
-2.74526,0.617985,-4.87737,-0.453765,6.37595,0.787071,0.24891,0.122375,3.73485,0.24891
-3.03035,0.665044,-4.95168,-0.210138,6.3256,0.519996,0.246843,0.118492,3.61642,0.246843
-3.28482,0.615222,-4.94475,-0.561596,6.39628,0.643506,0.244317,0.115835,3.50859,0.244317
-3.56772,0.52575,-5.01104,-1.08648,6.4967,0.823864,0.240312,0.118847,3.41005,0.240312
-3.81216,0.604648,-5.03908,-0.534785,6.38892,0.44659,0.23654,0.11783,3.3195,0.23654
-4.12467,0.524346,-5.19468,-0.953988,6.46481,0.577482,0.231273,0.122815,3.23656,0.231273
-4.36992,0.53009,-5.06984,-0.811011,6.44181,0.461089,0.226325,0.128096,3.15905,0.226325
-4.63156,0.617552,-5.02929,-0.335495,6.34979,0.214735,0.221445,0.128647,3.08676,0.221445
-4.86026,0.712153,-5.0335,0.0982549,6.26367,0.0151464,0.217042,0.126593,3.01926,0.217042
-5.14079,0.712209,-5.10642,0.0714373,6.2692,0.026504,0.21255,0.125306,2.9563,0.21255
-5.40908,0.68237,-5.22304,-0.0688122,6.29636,0.0750022,0.208256,0.126222,2.89774,0.208256
-5.64436,0.809245,-5.12414,0.418085,6.20177,-0.102729,0.204214,0.124123,2.84214,0.204214
-5.87654,0.924899,-4.65249,0.727379,6.1281,-0.221127,0.200414,0.122021,2.78917,0.200414
-6.07125,0.941167,-4.56894,0.708301,6.12938,-0.202619,0.19712,0.119893,2.73927,0.19712
-6.32282,0.981737,-5.07626,0.836249,6.11991,-0.201579,0.193893,0.117919,2.69211,0.193893
